productid,reviewid
B07JW9H4J1,R3HXWT0LRP0NMF
B07JW9H4J1,R2AJM3LFTLZHFO
B07JW9H4J1,R6AQJGUP6P86
B07JW9H4J1,R1KD19VHEDV0OR
B07JW9H4J1,R3C02RMYQMK6FC
B07JW9H4J1,R39GQRVBUZBWGY
B07JW9H4J1,R2K9EDOE15QIRJ
B07JW9H4J1,R3OI7YT648TL8I
B098NS6PVG,RGIQEG07R9HS2
B098NS6PVG,R1SMWZQ86XIN8U
B098NS6PVG,R2J3Y1WL29GWDE
B098NS6PVG,RYGGS0M09S3KY
B098NS6PVG,R17KQRUTAN5DKS
B098NS6PVG,R3AAQGS6HP2QUK
B098NS6PVG,R1HDNOG6TO2CCA
B098NS6PVG,R3PHKXYA5AFEOU
B096MSW6CT,R3J3EQQ9TZI5ZJ
B096MSW6CT,R3E7WBGK7ID0KV
B096MSW6CT,RWU79XKQ6I1QF
B096MSW6CT,R25X4TBMPY91LX
B096MSW6CT,R27OK7G99VK0TR
B096MSW6CT,R207CYDCHJJTCJ
B096MSW6CT,R3PCU8XMU173BT
B096MSW6CT,R1IMONDOWRNU5V
B08HDJ86NZ,R3EEUZKKK9J36I
B08HDJ86NZ,R3HJVYCLYOY554
B08HDJ86NZ,REDECAZ7AMPQC
B08HDJ86NZ,R1CLH2ULIVG5U3
B08HDJ86NZ,R2DMKIBGFKBD6R
B08HDJ86NZ,RC89B5IAJUTR5
B08HDJ86NZ,R3B3DDON5FH8DS
B08HDJ86NZ,R13WAEJDI5RS36
B08CF3B7N1,R1BP4L2HH9TFUP
B08CF3B7N1,R16PVJEXKV6QZS
B08CF3B7N1,R2UPDB81N66T4P
B08CF3B7N1,R3KK4GT934ST3I
B08CF3B7N1,RCFHMWUSBIJO
B08CF3B7N1,RDO7DACXMAJ84
B08CF3B7N1,R3A6MEZL3LY66Z
B08CF3B7N1,R1ESIEKPGAYA29
B08Y1TFSP6,R7S8ANNSDPR40
B08Y1TFSP6,R3CLZFLHVJU26P
B08Y1TFSP6,RFF7U7MPQFUGR
B08Y1TFSP6,R1MV1NKC23DWPI
B08Y1TFSP6,R11D3U0V2XKDKF
B08Y1TFSP6,R18MP1KLUE18PC
B08Y1TFSP6,RWGJNVEH5ZQME
B08Y1TFSP6,R1XN72FU6Q37IH
B08WRWPM22,R8E73K2KWJRDS
B08WRWPM22,RSD0JTIIWQQL8
B08WRWPM22,R64CRSTE9SLW1
B08WRWPM22,R2FRTNIIUFJE1F
B08WRWPM22,RWGNX3W7UOJ7W
B08WRWPM22,R32TYHHODHTF5D
B08WRWPM22,RQL9ZMQUTY7P2
B08WRWPM22,R280XJ5VZUBOXV
B08DDRGWTJ,R2X090D1YHACKR
B08DDRGWTJ,R32ZCIH9AFNJ60
B08DDRGWTJ,R3N57EVVG0EHAF
B08DDRGWTJ,R3QWLE8JHROKC1
B08DDRGWTJ,R2VTSDOOUTSQ5X
B08DDRGWTJ,R3E6FZ75Q074KH
B08DDRGWTJ,R1SYBQLTPFCW20
B08DDRGWTJ,RYQT96J8HPIXE
B008IFXQFU,R1LW6NWSVTVZ2H
B008IFXQFU,R3VR5WFKUS15C5
B008IFXQFU,R2F6GC79OYWUKQ
B008IFXQFU,R3QZ19MECGWG9A
B008IFXQFU,R2MPU42MYK7GPO
B008IFXQFU,R33DVXFB4VYPZZ
B008IFXQFU,R1SQ7OGFR4JRUR
B008IFXQFU,R1S5F9QI0M1VBZ
B082LZGK39,RGIQEG07R9HS2
B082LZGK39,R1SMWZQ86XIN8U
B082LZGK39,R2J3Y1WL29GWDE
B082LZGK39,RYGGS0M09S3KY
B082LZGK39,R17KQRUTAN5DKS
B082LZGK39,R3AAQGS6HP2QUK
B082LZGK39,R1HDNOG6TO2CCA
B082LZGK39,R3PHKXYA5AFEOU
B08CF3D7QR,R11MQS7WD9C3I0
B08CF3D7QR,R2AKH69XQY8BY4
B08CF3D7QR,R8GBOLYUN5UP6
B08CF3D7QR,R1AYVO4R25KJTA
B08CF3D7QR,R1HT6XM787V7FV
B08CF3D7QR,R339XJL1GMKHA3
B08CF3D7QR,R175VFSB2A32HG
B08CF3D7QR,R35T9LXYBSP09G
B0789LZTCJ,R3EEUZKKK9J36I
B0789LZTCJ,R3HJVYCLYOY554
B0789LZTCJ,REDECAZ7AMPQC
B0789LZTCJ,R1CLH2ULIVG5U3
B0789LZTCJ,R2DMKIBGFKBD6R
B0789LZTCJ,RC89B5IAJUTR5
B0789LZTCJ,R3B3DDON5FH8DS
B0789LZTCJ,R13WAEJDI5RS36
B07KSMBL2H,R1FKOKZ3HHKJBZ
B07KSMBL2H,R2WNMZI1EXTA0H
B07KSMBL2H,RCA1M3W4RIXUR
B07KSMBL2H,R3BKCLL6D7ZLIX
B07KSMBL2H,REVSR0ILY3547
B07KSMBL2H,R15W5KMQB95IV5
B07KSMBL2H,R10PB68FRUHT5V
B07KSMBL2H,R3TLCE9JSBU3UP
B085DTN6R2,R1QETDIPRCX4S0
B085DTN6R2,RARQYQ8POOFA9
B085DTN6R2,R952F931MCOR5
B085DTN6R2,R3LLDHV3WXED9C
B085DTN6R2,R282YHZ5A4GMY4
B085DTN6R2,R34W3B1C7RP98Q
B085DTN6R2,R1467F9VL3DLSY
B085DTN6R2,R3KLQRR1UM44JG
B09KLVMZ3B,R20XIOU25HEX80
B09KLVMZ3B,R2X55FA2EEUEYM
B09KLVMZ3B,R393Z224NBTDLN
B09KLVMZ3B,R3Q4ZCHWSAQD5B
B09KLVMZ3B,R1AE3A4NSVM9SC
B09KLVMZ3B,R2U1YAAZE07I1V
B09KLVMZ3B,R36NVL58WQ7D64
B09KLVMZ3B,R1E7GPZ569TBIZ
B083342NKJ,R2JPQNKCOE10UK
B083342NKJ,RQI80JG2WZXNF
B083342NKJ,R2LYZ4CUWPMUJN
B083342NKJ,R1ZBD2ZB2ZYEWX
B083342NKJ,R2ITEDC9KOCY3N
B083342NKJ,R1115HIQP3BKKJ
B083342NKJ,R31OMS6DNMI7M
B083342NKJ,R2DCFXQMUNO93L
B0B6F7LX4C,R13UTIA6KOF6QV
B0B6F7LX4C,R2UGDZSGFF01K7
B0B6F7LX4C,RHHIZ45VYU5X6
B0B6F7LX4C,R14N9HBE5EIUY0
B0B6F7LX4C,R2WMW096T9Y0OU
B0B6F7LX4C,R1SHIIE6M72825
B0B6F7LX4C,R22P6BE9DBME4F
B0B6F7LX4C,R2TEINENXTIHT2
B082LSVT4B,RGIQEG07R9HS2
B082LSVT4B,R1SMWZQ86XIN8U
B082LSVT4B,R2J3Y1WL29GWDE
B082LSVT4B,RYGGS0M09S3KY
B082LSVT4B,R17KQRUTAN5DKS
B082LSVT4B,R3AAQGS6HP2QUK
B082LSVT4B,R1HDNOG6TO2CCA
B082LSVT4B,R3PHKXYA5AFEOU
B08WRBG3XW,R2BP8Y5OJXKJLF
B08WRBG3XW,R218813TNRHNSY
B08WRBG3XW,R3VIKEVJ5DBF5G
B08WRBG3XW,R2PQNCTR8TQCT4
B08WRBG3XW,R3FI11UEJC9ZOJ
B08WRBG3XW,R3ULCCZZHBNLA4
B08WRBG3XW,RELIQ4H7CYX2Q
B08WRBG3XW,R3ALQNTJN4ER9N
B08DPLCM6T,R2PNR69G0BQG2F
B08DPLCM6T,R31A0WWDEYMKEW
B08DPLCM6T,R2C4XEWFLVU7JV
B08DPLCM6T,RYWES5AT5FQO6
B08DPLCM6T,R1PGWAY5TEWLT4
B08DPLCM6T,R32542OPR0QC4I
B08DPLCM6T,R2JDJEVZ2G7EEK
B08DPLCM6T,R36EHHPAQNSSOF
B09C6HXFC1,R12D1BZF9MU8TN
B09C6HXFC1,R32MNCWO5LGFCG
B09C6HXFC1,RZU3UK8OZKD6X
B09C6HXFC1,R3BSTKR3JUW6GY
B09C6HXFC1,R1ARVYPXS4XPB7
B09C6HXFC1,R1V6GDYE2IBX8O
B09C6HXFC1,R28EG2PXZTJL90
B09C6HXFC1,R2SQNU7OIOOLHT
B085194JFL,R1GYK05NN6747O
B085194JFL,R1J21BZ29NGQF9
B085194JFL,R16JCHEILBYOMW
B085194JFL,R2WVVS88M7SH18
B085194JFL,R2MQ3VB8ZTUS48
B085194JFL,RBJPTKHYQ7G7U
B085194JFL,R37PKO5FUPJW35
B085194JFL,R38R2YC2J2BMWR
B09F6S8BT6,R1SN0D4DFBKAZI
B09F6S8BT6,R1SX5L77L2CD6V
B09F6S8BT6,R1NAZ6M4QBUJMK
B09F6S8BT6,R25I5FXOJA76KS
B09F6S8BT6,R32V7DQLDSKJ99
B09F6S8BT6,R8QWY8HXI120P
B09F6S8BT6,R2OZPGGMUCLSC1
B09F6S8BT6,R1G4SA1P865EIS
B09NHVCHS9,R3F4T5TRYPTMIG
B09NHVCHS9,R3DQIEC603E7AY
B09NHVCHS9,R1O4Z15FD40PV5
B09NHVCHS9,RDVX50PD4CTFE
B09NHVCHS9,R3H6WKG0TA5CGU
B09NHVCHS9,R3Q3L1KP5QWPV3
B09NHVCHS9,RU0LU2PAIIME
B09NHVCHS9,R20FTANBPFA653
B0B1YVCJ2Y,R1EBS3566VCSCG
B0B1YVCJ2Y,R24MB66WRPSN2A
B0B1YVCJ2Y,R25UU2M1B9BO5X
B0B1YVCJ2Y,R1NXW7PGVND2LE
B0B1YVCJ2Y,R3OSBPH7X9AQUK
B0B1YVCJ2Y,R2I8RVEPDM0IMQ
B0B1YVCJ2Y,R5RES2LABIW7Q
B0B1YVCJ2Y,R3A3IRV8ZWP1U9
B01M4GGIVU,R2DIHMHOPYEASB
B01M4GGIVU,R24RHE9B30YXWQ
B01M4GGIVU,R3DYXQZQA6PPHM
B01M4GGIVU,R2458DMQ9C2Z4F
B01M4GGIVU,R36C67830VNHAA
B01M4GGIVU,R2GE3ZI47UVVO
B01M4GGIVU,R1XMBPKJ1QP1Q9
B01M4GGIVU,R1L6PX82T6UT6P
B08B42LWKN,R3COVVOP2R7Z28
B08B42LWKN,R2T6WHEO2ONNDD
B08B42LWKN,RUFFV2QR43OCM
B08B42LWKN,R2LK4WPIHJ7WDA
B08B42LWKN,R6IPR9FHZ5BOT
B08B42LWKN,R3DU4LFGTAIEMN
B08B42LWKN,RVHHM5FW31JN1
B08B42LWKN,R1QA870NJWIODF
B094JNXNPV,R249YCZVKYR5XD
B094JNXNPV,R1GHL3EYAQ4ZMT
B094JNXNPV,R1M0NVGZXK8NGO
B094JNXNPV,R3O3MTC9L2VAJ5
B094JNXNPV,RS2B5ERC0SV1O
B094JNXNPV,RY1GC09VYZQT8
B094JNXNPV,R29MVX7H69YMY5
B094JNXNPV,R2M6TTXAWRQT5G
B09W5XR9RT,R1Y30KU04V3QF4
B09W5XR9RT,RK3DSUGKIZT8Z
B09W5XR9RT,R3BIG7J6V2JZTU
B09W5XR9RT,R1QI1HTJPGLS5O
B09W5XR9RT,R3SETXTOZ47CM4
