productid,categoryid
B07JW9H4J1,10054
B07JW9H4J1,10001
B07JW9H4J1,10239
B07JW9H4J1,10026
B07JW9H4J1,10332
B098NS6PVG,10054
B098NS6PVG,10001
B098NS6PVG,10239
B098NS6PVG,10026
B098NS6PVG,10332
B096MSW6CT,10054
B096MSW6CT,10001
B096MSW6CT,10239
B096MSW6CT,10026
B096MSW6CT,10332
B08HDJ86NZ,10054
B08HDJ86NZ,10001
B08HDJ86NZ,10239
B08HDJ86NZ,10026
B08HDJ86NZ,10332
B08CF3B7N1,10054
B08CF3B7N1,10001
B08CF3B7N1,10239
B08CF3B7N1,10026
B08CF3B7N1,10332
B08Y1TFSP6,10054
B08Y1TFSP6,10001
B08Y1TFSP6,10239
B08Y1TFSP6,10026
B08Y1TFSP6,10332
B08WRWPM22,10054
B08WRWPM22,10001
B08WRWPM22,10239
B08WRWPM22,10026
B08WRWPM22,10332
B08DDRGWTJ,10054
B08DDRGWTJ,10001
B08DDRGWTJ,10239
B08DDRGWTJ,10026
B08DDRGWTJ,10332
B008IFXQFU,10054
B008IFXQFU,10001
B008IFXQFU,10211
B008IFXQFU,10210
B008IFXQFU,10360
B082LZGK39,10054
B082LZGK39,10001
B082LZGK39,10239
B082LZGK39,10026
B082LZGK39,10332
B08CF3D7QR,10054
B08CF3D7QR,10001
B08CF3D7QR,10239
B08CF3D7QR,10026
B08CF3D7QR,10332
B0789LZTCJ,10054
B0789LZTCJ,10001
B0789LZTCJ,10239
B0789LZTCJ,10026
B0789LZTCJ,10332
B07KSMBL2H,10091
B07KSMBL2H,10142
B07KSMBL2H,10327
B07KSMBL2H,10341
B07KSMBL2H,10001
B07KSMBL2H,10026
B07KSMBL2H,10128
B085DTN6R2,10054
B085DTN6R2,10001
B085DTN6R2,10239
B085DTN6R2,10026
B085DTN6R2,10332
B09KLVMZ3B,10054
B09KLVMZ3B,10001
B09KLVMZ3B,10239
B09KLVMZ3B,10026
B09KLVMZ3B,10332
B083342NKJ,10054
B083342NKJ,10001
B083342NKJ,10239
B083342NKJ,10026
B083342NKJ,10332
B0B6F7LX4C,10091
B0B6F7LX4C,10142
B0B6F7LX4C,10327
B0B6F7LX4C,10341
B0B6F7LX4C,10316
B0B6F7LX4C,10288
B082LSVT4B,10054
B082LSVT4B,10001
B082LSVT4B,10239
B082LSVT4B,10026
B082LSVT4B,10332
B08WRBG3XW,10054
B08WRBG3XW,10001
B08WRBG3XW,10239
B08WRBG3XW,10026
B08WRBG3XW,10332
B08DPLCM6T,10091
B08DPLCM6T,10142
B08DPLCM6T,10327
B08DPLCM6T,10341
B08DPLCM6T,10316
B08DPLCM6T,10288
B09C6HXFC1,10054
B09C6HXFC1,10001
B09C6HXFC1,10239
B09C6HXFC1,10026
B09C6HXFC1,10332
B085194JFL,10091
B085194JFL,10142
B085194JFL,10327
B085194JFL,10341
B085194JFL,10001
B085194JFL,10026
B085194JFL,10128
B09F6S8BT6,10091
B09F6S8BT6,10142
B09F6S8BT6,10327
B09F6S8BT6,10341
B09F6S8BT6,10316
B09F6S8BT6,10288
B09NHVCHS9,10054
B09NHVCHS9,10001
B09NHVCHS9,10239
B09NHVCHS9,10026
B09NHVCHS9,10332
B0B1YVCJ2Y,10091
B0B1YVCJ2Y,10142
B0B1YVCJ2Y,10327
B0B1YVCJ2Y,10341
B0B1YVCJ2Y,10316
B0B1YVCJ2Y,10288
B01M4GGIVU,10091
B01M4GGIVU,10142
B01M4GGIVU,10327
B01M4GGIVU,10341
B01M4GGIVU,10001
B01M4GGIVU,10026
B01M4GGIVU,10128
B08B42LWKN,10091
B08B42LWKN,10142
B08B42LWKN,10327
B08B42LWKN,10341
B08B42LWKN,10316
B08B42LWKN,10288
B094JNXNPV,10054
B094JNXNPV,10001
B094JNXNPV,10239
B094JNXNPV,10026
B094JNXNPV,10332
B09W5XR9RT,10054
B09W5XR9RT,10001
B09W5XR9RT,10239
B09W5XR9RT,10026
B09W5XR9RT,10332
B077Z65HSD,10054
B077Z65HSD,10001
B077Z65HSD,10239
B077Z65HSD,10026
B077Z65HSD,10332
B00NH11PEY,10054
B00NH11PEY,10001
B00NH11PEY,10239
B00NH11PEY,10026
B00NH11PEY,10332
B09CMM3VGK,10054
B09CMM3VGK,10001
B09CMM3VGK,10239
B09CMM3VGK,10026
B09CMM3VGK,10332
B08QSC1XY8,10054
B08QSC1XY8,10001
B08QSC1XY8,10239
B08QSC1XY8,10026
B08QSC1XY8,10332
B008FWZGSG,10054
B008FWZGSG,10001
B008FWZGSG,10239
B008FWZGSG,10026
B008FWZGSG,10332
B0B4HJNPV4,10054
B0B4HJNPV4,10001
B0B4HJNPV4,10239
B0B4HJNPV4,10026
B0B4HJNPV4,10332
B08Y1SJVV5,10054
B08Y1SJVV5,10001
B08Y1SJVV5,10239
B08Y1SJVV5,10026
B08Y1SJVV5,10332
B07XLCFSSN,10054
B07XLCFSSN,10001
B07XLCFSSN,10239
B07XLCFSSN,10026
B07XLCFSSN,10332
B09RZS1NQT,10054
B09RZS1NQT,10001
B09RZS1NQT,10239
B09RZS1NQT,10026
B09RZS1NQT,10332
B0B3MMYHYW,10091
B0B3MMYHYW,10142
B0B3MMYHYW,10327
B0B3MMYHYW,10341
B0B3MMYHYW,10316
B0B3MMYHYW,10288
B09C6HWG18,10054
B09C6HWG18,10001
B09C6HWG18,10239
B09C6HWG18,10026
B09C6HWG18,10332
B00NH11KIK,10054
B00NH11KIK,10001
B00NH11KIK,10239
B00NH11KIK,10026
B00NH11KIK,10332
B09JPC82QC,10091
B09JPC82QC,10142
B09JPC82QC,10327
B09JPC82QC,10341
B09JPC82QC,10316
B09JPC82QC,10288
B07JW1Y6XV,10054
B07JW1Y6XV,10001
B07JW1Y6XV,10239
B07JW1Y6XV,10026
B07JW1Y6XV,10332
B07KRCW6LZ,10054
B07KRCW6LZ,10001
B07KRCW6LZ,10211
B07KRCW6LZ,10210
B07KRCW6LZ,10360
B09NJN8L25,10054
B09NJN8L25,10001
B09NJN8L25,10239
B09NJN8L25,10026
B09NJN8L25,10332
B07XJYYH7L,10054
B07XJYYH7L,10001
B07XJYYH7L,10239
B07XJYYH7L,10026
B07XJYYH7L,10332
B002PD61Y4,10054
B002PD61Y4,10001
B002PD61Y4,10211
B002PD61Y4,10210
B002PD61Y4,10360
B014I8SSD0,10091
B014I8SSD0,10142
B014I8SSD0,10327
B014I8SSD0,10341
B014I8SSD0,10001
B014I8SSD0,10026
B014I8SSD0,10128
B09L8DSSFH,10091
B09L8DSSFH,10142
B09L8DSSFH,10327
B09L8DSSFH,10341
B09L8DSSFH,10001
B09L8DSSFH,10259
B07232M876,10054
B07232M876,10001
B07232M876,10239
B07232M876,10026
B07232M876,10332
B07P681N66,10054
B07P681N66,10001
B07P681N66,10211
B07P681N66,10210
B07P681N66,10360
B0711PVX6Z,10054
B0711PVX6Z,10001
B0711PVX6Z,10239
B0711PVX6Z,10026
B0711PVX6Z,10332
B082T6V3DT,10054
B082T6V3DT,10001
B082T6V3DT,10239
B082T6V3DT,10026
B082T6V3DT,10332
B07MKFNHKG,10091
B07MKFNHKG,10142
B07MKFNHKG,10327
B07MKFNHKG,10341
B07MKFNHKG,10316
B07MKFNHKG,10296
B0BFWGBX61,10054
