reviewid,review
R3HXWT0LRP0NMF,Satisfied
R2AJM3LFTLZHFO,Charging is really fast
R6AQJGUP6P86,Value for money
R1KD19VHEDV0OR,Product review
R3C02RMYQMK6FC,Good quality
R39GQRVBUZBWGY,Good product
R2K9EDOE15QIRJ,Good Product
R3OI7YT648TL8I,As of now seems good
RGIQEG07R9HS2,A Good Braided Cable for Your Type C Device
R1SMWZQ86XIN8U,Good quality product from ambrane
R2J3Y1WL29GWDE,Super cable
RYGGS0M09S3KY,As
R17KQRUTAN5DKS,Good quality
R3AAQGS6HP2QUK,Good product
R1HDNOG6TO2CCA,its good
R3PHKXYA5AFEOU,Good quality for the price but one issue with my unit
R3J3EQQ9TZI5ZJ,Good speed for earlier versions
R3E7WBGK7ID0KV,Good Product
RWU79XKQ6I1QF,Working good
R25X4TBMPY91LX,Good for the price
R27OK7G99VK0TR,Good
R207CYDCHJJTCJ,Worth for money
R3PCU8XMU173BT,Working nice
R1IMONDOWRNU5V,it's a really nice product
R3EEUZKKK9J36I,Good product
R3HJVYCLYOY554,Good one
REDECAZ7AMPQC,Nice
R1CLH2ULIVG5U3,Really nice product
R2DMKIBGFKBD6R,Very first time change
RC89B5IAJUTR5,Good
R3B3DDON5FH8DS,Fine product but could be better
R13WAEJDI5RS36,Very nice it's charging like jet
R1BP4L2HH9TFUP,As good as original
R16PVJEXKV6QZS,Decent
R2UPDB81N66T4P,Good one for secondary use
R3KK4GT934ST3I,Best quality
RCFHMWUSBIJO,GOOD
RDO7DACXMAJ84,Amazing product at a mind blowing price!
R3A6MEZL3LY66Z,Nice Quality
R1ESIEKPGAYA29,Good product
R7S8ANNSDPR40,It's pretty good
R3CLZFLHVJU26P,Average quality
RFF7U7MPQFUGR,very good and useful usb cable
R1MV1NKC23DWPI,Good USB cable. My experience was very good it is long lasting
R11D3U0V2XKDKF,Good
R18MP1KLUE18PC,Nice product and useful
RWGJNVEH5ZQME,-
R1XN72FU6Q37IH,Sturdy but does not support 33w charging
R8E73K2KWJRDS,Long durable.
RSD0JTIIWQQL8,good
R64CRSTE9SLW1,Does not charge Lenovo m8 tab
R2FRTNIIUFJE1F,Best charging cable
RWGNX3W7UOJ7W,good
R32TYHHODHTF5D,Boat
RQL9ZMQUTY7P2,Product was good
R280XJ5VZUBOXV,1.5 m
R2X090D1YHACKR,Worth for money - suitable for Android auto
R32ZCIH9AFNJ60,Good Product
R3N57EVVG0EHAF,Length
R3QWLE8JHROKC1,Nice
R2VTSDOOUTSQ5X,Original
R3E6FZ75Q074KH,Very good quay Cable support fast charging.
R1SYBQLTPFCW20,Original MI cable for charging upto 33 watt
RYQT96J8HPIXE,I am veri happy with this product as it provide turbo charging.
R1LW6NWSVTVZ2H,Works on linux for me. Get the model with antenna.
R3VR5WFKUS15C5,Does what it say but other brands available at lesser price
R2F6GC79OYWUKQ,Easy Handle
R3QZ19MECGWG9A,Great product
R2MPU42MYK7GPO,Perfect working
R33DVXFB4VYPZZ,Speed is perfect
R1SQ7OGFR4JRUR,Great Design
R1S5F9QI0M1VBZ,Build
R11MQS7WD9C3I0,Good for fast charge but not for data transfer
R2AKH69XQY8BY4,Good cable compares to local the brand.
R8GBOLYUN5UP6,good but doesnt last
R1AYVO4R25KJTA,Good product
R1HT6XM787V7FV,Good Product
R339XJL1GMKHA3,Good and worth it
R175VFSB2A32HG,very good material quality charging speed is 15 watt
R35T9LXYBSP09G,Not a fast charger
R1FKOKZ3HHKJBZ,It's quite good and value for money
R2WNMZI1EXTA0H,Works well
RCA1M3W4RIXUR,Hdmi cable
R3BKCLL6D7ZLIX,Value for money
REVSR0ILY3547,All good
R15W5KMQB95IV5,Gets the job done
R10PB68FRUHT5V,Delivery was good
R3TLCE9JSBU3UP,This one was my need to purchase
R1QETDIPRCX4S0,Works
RARQYQ8POOFA9,Nice Product
R952F931MCOR5,Fast Charging as original
R3LLDHV3WXED9C,Good for data transfer
R282YHZ5A4GMY4,Average. Cost effective
R34W3B1C7RP98Q,Good quality
R1467F9VL3DLSY,Great Product
R3KLQRR1UM44JG,Nice
R20XIOU25HEX80,Great but
R2X55FA2EEUEYM,Worked well for 6 six months thats it
R393Z224NBTDLN,Compatible with Apple iPad 2nd generation and charging very well.
R3Q4ZCHWSAQD5B,CABLE
R1AE3A4NSVM9SC,The product is good but the phone gets disconnected at multiple occasions.
R2U1YAAZE07I1V,Not a fast charging cable
R36NVL58WQ7D64,Good item. Value
R1E7GPZ569TBIZ,Amazing product and value for money
R2JPQNKCOE10UK,Good product
RQI80JG2WZXNF,using this product 8months It is done I have not faced any problem so far
R2LYZ4CUWPMUJN,its build quality best
R1ZBD2ZB2ZYEWX,I really liked this one.
R2ITEDC9KOCY3N,Very strong and support fast charging
R1115HIQP3BKKJ,
R31OMS6DNMI7M,Nice cable
R2DCFXQMUNO93L,Best data cable charging fast
R13UTIA6KOF6QV,It is the best tv if you are getting it in 10-12k
R2UGDZSGFF01K7,Good price but the OS lags
RHHIZ45VYU5X6,GARBAGE QUALITY
R14N9HBE5EIUY0,Good product.
R2WMW096T9Y0OU,Good quality
R1SHIIE6M72825,Great experience everything is fantastic
R22P6BE9DBME4F,Super picture quality and sound quality
R2TEINENXTIHT2,Awesome
R2BP8Y5OJXKJLF,Good for charging and Data transfer
R218813TNRHNSY,
R3VIKEVJ5DBF5G,Good Quality but less Power Delivery
R2PQNCTR8TQCT4,Fantastic!
R3FI11UEJC9ZOJ,Good
R3ULCCZZHBNLA4,Not useful
RELIQ4H7CYX2Q,Doesn't fit properly
R3ALQNTJN4ER9N,Can't support Oppo mobile for fast charging
R2PNR69G0BQG2F,Sound quality
R31A0WWDEYMKEW,Very nice
R2C4XEWFLVU7JV,Value for money
RYWES5AT5FQO6,Good
R1PGWAY5TEWLT4,Good for its price.
R32542OPR0QC4I,Good item
R2JDJEVZ2G7EEK,Budget friendly
R36EHHPAQNSSOF,Good
R12D1BZF9MU8TN,Good cable for car
R32MNCWO5LGFCG,Good substitute for orginal
RZU3UK8OZKD6X,Better Value for money Product
R3BSTKR3JUW6GY,Way better than the original
R1ARVYPXS4XPB7,Absolutely amazing.
R1V6GDYE2IBX8O,Namm hi kafi hai
R28EG2PXZTJL90,Very good
R2SQNU7OIOOLHT,As the names say Durable cell it a durable cable ;-)
R1GYK05NN6747O,Good product ; Average Finishing
R1J21BZ29NGQF9,Save it purpose well without any issue. I am satisfied
R16JCHEILBYOMW,No issues
R2WVVS88M7SH18,NO NEED TO PUT AUX CABLE FOR CONNECTING AUDIO FROM SECONDARY MONITOR
R2MQ3VB8ZTUS48,Good product
RBJPTKHYQ7G7U,Not so Bad
R37PKO5FUPJW35,Good
R38R2YC2J2BMWR,Worked will for only 3-4 months.
R1SN0D4DFBKAZI,Good
R1SX5L77L2CD6V,Sound is very low another brand comparing in better
R1NAZ6M4QBUJMK,Service provider not meet my home refuse
R25I5FXOJA76KS,tv i am not using bad service
R32V7DQLDSKJ99,Good product
R8QWY8HXI120P,Ok super
R2OZPGGMUCLSC1,Floor stand does not come with it ...
R1G4SA1P865EIS,Good
R3F4T5TRYPTMIG,Worked on iPhone 7 and didnt work on XR
R3DQIEC603E7AY,Good one
R1O4Z15FD40PV5,Dull Physical Looks
RDVX50PD4CTFE,Just Buy it
R3H6WKG0TA5CGU,Go for it
R3Q3L1KP5QWPV3,About the product
RU0LU2PAIIME,Get charging cable at the price
R20FTANBPFA653,Working well.
R1EBS3566VCSCG,Wonderful TV and Awful installation service from amazon
R24MB66WRPSN2A,Acer Television Review
R25UU2M1B9BO5X,It's a good product for that price.
R1NXW7PGVND2LE,Good for the price
R3OSBPH7X9AQUK,Almost a complete package
R2I8RVEPDM0IMQ,Nice Product
R5RES2LABIW7Q,Good product
R3A3IRV8ZWP1U9,Super designed
R2DIHMHOPYEASB,Cheap product and same is the performance but does the job
R24RHE9B30YXWQ,Good
R3DYXQZQA6PPHM,No Box!!!
R2458DMQ9C2Z4F,Good
R36C67830VNHAA,Value for money
R2GE3ZI47UVVO,A very good quality cable with rubust built
R1XMBPKJ1QP1Q9,and it does the work.
R1L6PX82T6UT6P,Value money
R3COVVOP2R7Z28,Worthy and most affordable - Great TV
R2T6WHEO2ONNDD,Good product
RUFFV2QR43OCM,It's really worth the money but
R2LK4WPIHJ7WDA,Better product in this budget
R6IPR9FHZ5BOT,Product review
R3DU4LFGTAIEMN,nice tv
RVHHM5FW31JN1,Best product
R1QA870NJWIODF,Budget friendly TV
R249YCZVKYR5XD,Ok cable
R1GHL3EYAQ4ZMT,three pin with hybrid wire
R1M0NVGZXK8NGO,Sturdy
R3O3MTC9L2VAJ5,Nice
RS2B5ERC0SV1O,Good.
RY1GC09VYZQT8,So good
R29MVX7H69YMY5,CarPlay Not supported
R2M6TTXAWRQT5G,
R1Y30KU04V3QF4,Very good product.
RK3DSUGKIZT8Z,Using as a spare cable in car
R3BIG7J6V2JZTU,Sturdy
R1QI1HTJPGLS5O,Durable
R3SETXTOZ47CM4,Fast Charging!
R10SL1Q7F6CHBK,Good brand
R1CBYX6RCGU739,Its like original apple cable
R3PGNXSPA35NB3,One of the best wire ..
R1G4I5FLAHM16P,Just buy it dont even 2nd guess it
R1DXRMVWV2OVE8,Quality is good
R2BJFG3I9TAZ2P,Nylon braided quiet sturdy
R35RERUQG5AERU,Amazing
RQVMA35UH4D2P,Feels like steel harnessed wire - strong
R2WKO9Y6VGUOOP,Sturdy and durable. Useful for charging Power Banks
R1NECHJ8DC9INS,good
RDDDU5N0JHZS7,Nice quality
R1C8MVU3EIX56Y,Nice
R10RUXC7JD5S4I,good
R1AFBZ5PYTHO1Z,Paisa vassol
R3GQL7YKAFJMEN,Sturdy and long.
R3B6H5JPG134KN,Good for the price and great quality.
RUG04XHXRXK95,Works as expected
R2Q1OYOIJI5673,Good
RJX2WGB0X99SY,Good
R223OIZPTZ994S,Good product
RATMJ847EPDQX,Good for charging
RHWJXUIB7QJY4,bad for data transfer
RKKX7CGMNCZLA,Wait to get mexmum discount.
RL8AFQ3JO8B1N,The cable quality is best and charging pin is at right position to stand
R152XS08W2OG38,So far super
R2RS0DMJ29X2W6,Good
RLLQ8T7VXWR65,Good but issues with design
R2S0AYWUV349HP,Great Cable
R35OW9CYQNAYHY,Charging Speeds Could Be Better
R3B3DDF1D5NULK,Good
R3LZQDRMNS5CZO,A good cable.
RUGI31F4HDHOV,One of the best type c cable
R24GFJRFT12S6S,Works as intended.
R231AEG1IO02JM,A good buy. The extra length helps a lot.
RD31MI3UMAXP8,Good
R2Z9ENI1BK4EAB,Good
R2JTBG4GO7WPMG,Genuine product
R3GKCN4UH999M8,Not first charge this cabil
R3EGXE69JQH9AG,
RCX9JVSY2ISRL,Nice cable but known durability
R1UVGU3RQMOG49,Got a used type c to c cable and the xable was damaged
R2VQFSALVKRALF,The product is Genuine and Good
R1M45F72399D3L,Abdul kadir
R1Q323BB35OP30,The metal pin is losing it's strength
RJ0CSQUUWFF9W,Sahi h bs 44 rupe ki and dilivery charge 40
R23OB4XMH3S9QD,Good Charging cable
R1K5FQR6CYMQAV,Good sturdy micro usb cable with good charging speeds
